chamado_id,data_abertura,canal,categoria,subcategoria,estado,cidade,duracao_minutos,resolvido_primeiro_contato,encaminhado_humano,satisfacao_1_a_5,plano_atual,resumo_atendimento
CHM-10245,2026-07-12,App,Cancelamento,Cancelamento por insatisfacao,BA,Feira De Santana,25.0,True,False,5.0,Conecta Plus,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10085,2026-07-20,App,Fatura,Segunda via,PR,Curitiba,23.0,True,False,5.0,Conecta Plus,Cliente solicita segunda via da fatura por e-mail.
CHM-10307,2026-07-17,Telefone,Outros,Elogio,SP,Sao Paulo,11.0,True,False,,Conecta Familia,Cliente elogia atendimento recebido em contato anterior.
CHM-10195,2026-08-15,Chat,Cobertura,Lentidao na internet,PR,Curitiba,23.0,False,False,,Conecta Basico,Cliente relata velocidade abaixo do contratado.
CHM-10126,2026-08-07,App,Outros,Solicitacao de fatura detalhada,PR,Londrina,17.0,False,True,,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10131,2026-07-10,App,Plano,Troca de plano,PE,Olinda,8.0,True,False,,Conecta Plus,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10141,2026-08-02,App,Tecnico,Chip nao funciona,RJ,Niteroi,31.0,False,False,2.0,Conecta Basico,Cliente relata chip novo sem funcionamento apos ativacao.
CHM-10016,2026-08-19,Chat,Cancelamento,Cancelamento de linha,MG,Belo Horizonte,17.0,False,True,1.0,Conecta Basico,Cliente solicita encerramento de uma linha do plano familia.
CHM-10156,2026-08-08,Telefone,Fatura,Segunda via,RS,Caxias Do Sul,27.0,True,False,3.0,,Cliente solicita segunda via da fatura por e-mail.
CHM-10080,2026-06-25,Loja Fisica,Outros,Sugestao,PE,Recife,10.0,True,False,5.0,Conecta Familia,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10006,2026-08-14,Loja Fisica,Plano,Duvida sobre franquia,RJ,Rio De Janeiro,11.0,True,False,5.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10058,2026-06-05,Loja Fisica,Fatura,Valor divergente,MG,Uberlandia,25.0,False,True,1.0,Conecta Familia,Cliente questiona diferenca entre valor contratado e valor cobrado.
CHM-10032,2026-07-01,Chat,Plano,Cancelamento de complemento,PR,Curitiba,12.0,True,False,3.0,Conecta Basico,Cliente pede remocao de servico adicional contratado.
CHM-10076,2026-08-18,App,Tecnico,Chip nao funciona,SP,Sao Paulo,23.0,True,False,,Conecta Plus,Cliente relata chip novo sem funcionamento apos ativacao.
CHM-10192,2026-08-21,Chat,Plano,Troca de plano,BA,Salvador,11.0,True,False,3.0,Conecta Basico,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10283,2026-08-07,Chat,Fatura,Duvida sobre desconto,SP,Ribeirao Preto,4.0,True,False,5.0,Conecta Familia,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10188,2026-06-28,Loja Fisica,Fatura,Cobranca indevida,PR,Londrina,21.0,True,False,5.0,Conecta Plus,Cliente relata cobranca de valor nao reconhecido na fatura do mes.
CHM-10034,2026-08-21,Loja Fisica,Plano,Cancelamento de complemento,BA,Feira De Santana,31.0,True,False,5.0,Conecta Basico,Cliente pede remocao de servico adicional contratado.
CHM-10102,2026-06-03,Chat,Cancelamento,Cancelamento por insatisfacao,CE,Fortaleza,5.0,True,False,4.0,Conecta Basico,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10190,2026-08-13,App,Portabilidade,Portabilidade nao concluida,PR,Londrina,12.0,True,False,,Conecta Basico,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10199,2026-06-27,Loja Fisica,Plano,Troca de plano,RJ,Duque De Caxias,33.0,True,False,5.0,,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10144,2026-07-06,App,Outros,Solicitacao de fatura detalhada,RJ,Rio De Janeiro,19.0,True,False,5.0,Conecta Basico,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10092,2026-06-09,App,Outros,Elogio,PR,Curitiba,9.0,True,False,5.0,Conecta Plus,Cliente elogia atendimento recebido em contato anterior.
CHM-10003,2026-06-06,Chat,Fatura,Contestacao de valor,PR,Curitiba,6.0,True,False,5.0,Conecta Basico,Cliente contesta valor acima do esperado e pede revisao.
CHM-10230,2026-08-24,App,Fatura,Duvida sobre desconto,CE,Fortaleza,12.0,True,False,,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10191,2026-08-11,Telefone,Cobertura,Sem sinal,PR,Londrina,28.0,True,False,5.0,Conecta Basico,Cliente relata ausencia total de sinal na regiao.
CHM-10319,,Loja Fisica,Portabilidade,Status de portabilidade,SP,Santos,11.0,True,False,3.0,Conecta Familia,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10110,2026-07-22,Telefone,Tecnico,Erro de configuracao de APN,SP,Ribeirao Preto,17.0,True,False,3.0,Conecta Basico,Cliente pede ajuda para configurar APN manualmente.
CHM-10069,2026-06-11,Loja Fisica,Cancelamento,Cancelamento por insatisfacao,BA,Salvador,24.0,True,False,,Conecta Plus,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10082,2026-06-04,Chat,Portabilidade,Duvida sobre prazo de portabilidade,MG,Uberlandia,32.0,False,True,,Conecta Basico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10129,2026-06-11,App,Fatura,Duvida sobre desconto,RJ,Duque De Caxias,27.0,True,False,5.0,Conecta Familia,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10064,2026-08-04,Chat,Fatura,Contestacao de valor,RS,Caxias Do Sul,16.0,True,False,3.0,Conecta Basico,Cliente contesta valor acima do esperado e pede revisao.
CHM-10074,2026-08-20,App,Fatura,Segunda via,RJ,Niteroi,30.0,True,False,5.0,,Cliente solicita segunda via da fatura por e-mail.
CHM-10165,2026-07-30,Chat,Plano,Adicao de pacote de dados,RS,Porto Alegre,7.0,True,False,4.0,Conecta Basico,Cliente pede adicao de pacote extra de internet movel.
CHM-10105,2026-07-15,App,Fatura,Contestacao de valor,PE,Olinda,11.0,False,False,2.0,Conecta Basico,Cliente contesta valor acima do esperado e pede revisao.
CHM-10310,2026-08-09,App,Fatura,Segunda via,SP,Ribeirao Preto,34.0,True,False,4.0,Conecta Plus,Cliente solicita segunda via da fatura por e-mail.
CHM-10066,2026-07-25,Chat,Cancelamento,Cancelamento por insatisfacao,RJ,Duque De Caxias,15.0,False,False,,Conecta Basico,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10185,2026-07-22,Chat,Plano,Duvida sobre franquia,RS,Caxias Do Sul,5.0,True,False,4.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10001,2026-08-21,App,Plano,Duvida sobre franquia,RJ,Niteroi,4.0,True,False,3.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10248,2026-07-03,Loja Fisica,Cobertura,Sinal instavel,BA,Feira De Santana,34.0,False,True,2.0,Conecta Familia,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10193,2026-06-11,Telefone,Portabilidade,Portabilidade nao concluida,CE,Fortaleza,12.0,False,True,3.0,Conecta Plus,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10287,,Loja Fisica,Cancelamento,Cancelamento de linha,RS,Caxias Do Sul,31.0,True,False,5.0,Conecta Familia,Cliente solicita encerramento de uma linha do plano familia.
CHM-10103,2026-06-15,Loja Fisica,Tecnico,Falha na instalacao,RS,Caxias Do Sul,5.0,True,False,4.0,Conecta Plus,Cliente relata problema durante instalacao de internet fixa.
CHM-10246,2026-08-13,Telefone,Portabilidade,Duvida sobre prazo de portabilidade,PE,Recife,11.0,True,False,4.0,,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10273,2026-06-25,Chat,Plano,Adicao de pacote de dados,MG,Belo Horizonte,16.0,False,True,1.0,Conecta Familia,Cliente pede adicao de pacote extra de internet movel.
CHM-10171,,App,Cancelamento,Cancelamento de linha,CE,Sobral,13.0,True,False,4.0,Conecta Basico,Cliente solicita encerramento de uma linha do plano familia.
CHM-10175,2026-06-09,Chat,Fatura,Cobranca indevida,CE,Sobral,12.0,True,False,5.0,Conecta Plus,Cliente relata cobranca de valor nao reconhecido na fatura do mes.
CHM-10244,2026-08-07,Loja Fisica,Fatura,Contestacao de valor,PE,Recife,31.0,True,False,5.0,Conecta Plus,Cliente contesta valor acima do esperado e pede revisao.
CHM-10163,2026-08-06,App,Portabilidade,Portabilidade nao concluida,MG,Uberlandia,6.0,True,False,5.0,Conecta Familia,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10232,2026-06-24,App,Portabilidade,Status de portabilidade,CE,Fortaleza,16.0,True,False,4.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10213,2026-07-27,App,Cancelamento,Cancelamento por mudanca de operadora,RS,Caxias Do Sul,13.0,False,True,2.0,Conecta Basico,Cliente informa que ja solicitou portabilidade para outra operadora.
CHM-10038,2026-08-07,Chat,Cobertura,Sinal instavel,MG,Belo Horizonte,10.0,True,False,,Conecta Basico,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10111,2026-06-16,Telefone,Portabilidade,Status de portabilidade,RJ,Niteroi,25.0,True,False,5.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10233,2026-08-18,Chat,Tecnico,Falha na instalacao,SP,Ribeirao Preto,25.0,True,False,3.0,Conecta Familia,Cliente relata problema durante instalacao de internet fixa.
CHM-10290,2026-07-06,Loja Fisica,Plano,Duvida sobre franquia,RJ,Duque De Caxias,35.0,False,True,1.0,,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10278,2026-08-18,Telefone,Plano,Duvida sobre franquia,BA,Feira De Santana,30.0,True,False,3.0,Conecta Familia,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10127,2026-08-10,Chat,Plano,Troca de plano,PE,Olinda,8.0,True,False,,Conecta Basico,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10060,2026-07-29,Telefone,Portabilidade,Status de portabilidade,SP,Campinas,10.0,False,True,2.0,Conecta Familia,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10218,2026-07-25,Telefone,Outros,Solicitacao de fatura detalhada,MG,Uberlandia,23.0,True,False,4.0,Conecta Familia,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10249,2026-08-21,App,Portabilidade,Status de portabilidade,RJ,Rio De Janeiro,23.0,True,False,5.0,Conecta Familia,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10137,2026-07-26,Chat,Plano,Duvida sobre franquia,PR,Londrina,34.0,True,False,4.0,Conecta Basico,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10226,2026-08-15,App,Tecnico,Aparelho nao conecta,PR,Curitiba,17.0,True,False,4.0,Conecta Plus,Cliente relata que o aparelho nao conecta a rede apos configurar novo chip.
CHM-10247,2026-08-20,App,Cobertura,Lentidao na internet,PE,Recife,5.0,False,True,2.0,Conecta Plus,Cliente relata velocidade abaixo do contratado.
CHM-10239,2026-06-26,Chat,Cancelamento,Cancelamento por insatisfacao,PR,Curitiba,14.0,True,False,5.0,Conecta Basico,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10229,2026-07-16,App,Outros,Solicitacao de fatura detalhada,MG,Belo Horizonte,16.0,True,False,3.0,Conecta Familia,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10228,2026-06-06,App,Portabilidade,Status de portabilidade,BA,Salvador,26.0,True,False,4.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10224,2026-06-29,Loja Fisica,Outros,Sugestao,PR,Londrina,30.0,True,False,4.0,Conecta Familia,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10207,2026-07-18,Chat,Tecnico,Falha na instalacao,PE,Olinda,14.0,True,False,4.0,Conecta Familia,Cliente relata problema durante instalacao de internet fixa.
CHM-10081,2026-07-07,Telefone,Tecnico,Falha na instalacao,RJ,Niteroi,24.0,True,False,4.0,Conecta Plus,Cliente relata problema durante instalacao de internet fixa.
CHM-10170,2026-08-14,Telefone,Plano,Duvida sobre franquia,SP,Ribeirao Preto,24.0,True,False,3.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10168,2026-07-06,Telefone,Cancelamento,Cancelamento por mudanca de operadora,BA,Feira De Santana,32.0,True,False,5.0,Conecta Familia,Cliente informa que ja solicitou portabilidade para outra operadora.
CHM-10101,2026-07-13,Loja Fisica,Cancelamento,Cancelamento por mudanca de operadora,PR,Londrina,12.0,False,True,2.0,Conecta Plus,Cliente informa que ja solicitou portabilidade para outra operadora.
CHM-10018,2026-07-25,Chat,Cobertura,Sinal instavel,MG,Uberlandia,29.0,False,True,2.0,Conecta Plus,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10048,2026-08-04,Chat,Portabilidade,Duvida sobre prazo de portabilidade,MG,Juiz De Fora,32.0,True,False,3.0,Conecta Basico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10169,2026-07-19,App,Cancelamento,Cancelamento por insatisfacao,PR,Londrina,13.0,True,False,5.0,Conecta Plus,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10289,2026-08-16,Telefone,Portabilidade,Status de portabilidade,SP,Santos,22.0,True,False,4.0,Conecta Basico,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10263,2026-07-01,Chat,Cancelamento,Cancelamento por insatisfacao,CE,Fortaleza,20.0,True,False,4.0,Conecta Basico,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10079,2026-08-19,Telefone,Tecnico,Aparelho nao conecta,PR,Curitiba,30.0,False,True,3.0,Conecta Familia,Cliente relata que o aparelho nao conecta a rede apos configurar novo chip.
CHM-10028,2026-06-30,Telefone,Plano,Troca de plano,PE,Olinda,28.0,True,False,5.0,Conecta Basico,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10133,2026-07-02,Loja Fisica,Cancelamento,Cancelamento de linha,RJ,Niteroi,2.0,True,False,3.0,,Cliente solicita encerramento de uma linha do plano familia.
CHM-10056,2026-08-01,App,Outros,Sugestao,CE,Fortaleza,16.0,False,True,,Conecta Plus,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10007,2026-08-10,Chat,Portabilidade,Portabilidade nao concluida,PR,Londrina,,False,False,1.0,Conecta Familia,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10227,2026-08-12,Telefone,Portabilidade,Duvida sobre prazo de portabilidade,SP,Ribeirao Preto,16.0,True,False,5.0,Conecta Familia,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10075,2026-06-06,Telefone,Cancelamento,Cancelamento por insatisfacao,SP,Sao Paulo,23.0,True,False,5.0,Conecta Plus,Cliente pede cancelamento citando insatisfacao com o atendimento.
CHM-10135,,Loja Fisica,Plano,Cancelamento de complemento,RJ,Duque De Caxias,33.0,True,False,4.0,Conecta Plus,Cliente pede remocao de servico adicional contratado.
CHM-10187,2026-08-23,Chat,Fatura,Duvida sobre desconto,MG,Belo Horizonte,16.0,True,False,5.0,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10269,2026-06-20,App,Plano,Duvida sobre franquia,BA,Feira De Santana,15.0,False,True,2.0,Conecta Basico,Cliente quer saber quantos GB restam na franquia do mes.
CHM-10049,2026-07-20,Loja Fisica,Cobertura,Area sem cobertura 4G/5G,PE,Recife,33.0,False,False,,Conecta Familia,Cliente pergunta sobre previsao de cobertura 5G na regiao.
CHM-10223,2026-06-13,Chat,Cobertura,Area sem cobertura 4G/5G,PR,Londrina,11.0,True,False,,Conecta Basico,Cliente pergunta sobre previsao de cobertura 5G na regiao.
CHM-10147,2026-06-17,App,Outros,Solicitacao de fatura detalhada,MG,Juiz De Fora,19.0,True,False,5.0,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10202,2026-06-08,Telefone,Tecnico,Chip nao funciona,CE,Sobral,24.0,False,True,,Conecta Plus,Cliente relata chip novo sem funcionamento apos ativacao.
CHM-10296,2026-06-26,Loja Fisica,Fatura,Duvida sobre desconto,MG,Uberlandia,32.0,False,False,1.0,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10172,2026-08-18,Telefone,Portabilidade,Portabilidade nao concluida,SP,Campinas,11.0,False,True,2.0,Conecta Basico,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10306,,App,Outros,Sugestao,RS,Caxias Do Sul,22.0,True,False,4.0,Conecta Plus,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10305,2026-07-20,Loja Fisica,Plano,Adicao de pacote de dados,BA,Feira De Santana,7.0,True,False,,Conecta Familia,Cliente pede adicao de pacote extra de internet movel.
CHM-10124,2026-06-08,Chat,Fatura,Cobranca indevida,MG,Belo Horizonte,,True,False,3.0,Conecta Familia,Cliente relata cobranca de valor nao reconhecido na fatura do mes.
CHM-10015,2026-07-02,Chat,Fatura,Duvida sobre desconto,PR,Curitiba,22.0,True,False,4.0,Conecta Basico,Cliente pergunta sobre desconto de fidelidade aplicado.
CHM-10100,2026-07-28,App,Portabilidade,Status de portabilidade,MG,Uberlandia,25.0,False,True,1.0,Conecta Basico,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10285,2026-06-26,Chat,Cobertura,Sinal instavel,RJ,Duque De Caxias,30.0,False,True,,Conecta Basico,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10042,2026-06-26,Telefone,Plano,Adicao de pacote de dados,RJ,Rio De Janeiro,21.0,False,True,2.0,Conecta Plus,Cliente pede adicao de pacote extra de internet movel.
CHM-10115,2026-08-24,Telefone,Outros,Sugestao,MG,Uberlandia,35.0,False,False,1.0,Conecta Plus,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10087,2026-06-07,App,Fatura,Segunda via,PE,Olinda,26.0,False,False,3.0,Conecta Basico,Cliente solicita segunda via da fatura por e-mail.
CHM-10096,2026-08-21,App,Cobertura,Area sem cobertura 4G/5G,PE,Olinda,6.0,True,False,4.0,Conecta Basico,Cliente pergunta sobre previsao de cobertura 5G na regiao.
CHM-10051,2026-07-01,App,Portabilidade,Portabilidade nao concluida,RJ,Duque De Caxias,8.0,False,True,2.0,Conecta Plus,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10177,2026-06-22,Loja Fisica,Fatura,Cobranca indevida,RS,Caxias Do Sul,18.0,True,False,5.0,Conecta Basico,Cliente relata cobranca de valor nao reconhecido na fatura do mes.
CHM-10262,2026-07-12,App,Outros,Elogio,MG,Uberlandia,18.0,False,True,2.0,Conecta Familia,Cliente elogia atendimento recebido em contato anterior.
CHM-10114,2026-08-14,Loja Fisica,Portabilidade,Portabilidade nao concluida,RJ,Rio De Janeiro,20.0,False,True,3.0,Conecta Plus,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10293,2026-06-04,Telefone,Outros,Sugestao,CE,Fortaleza,32.0,False,True,1.0,Conecta Familia,Cliente sugere melhoria no aplicativo da ConectaTel.
CHM-10280,2026-07-09,App,Outros,Elogio,MG,Belo Horizonte,19.0,True,False,3.0,Conecta Familia,Cliente elogia atendimento recebido em contato anterior.
CHM-10030,,Loja Fisica,Cancelamento,Cancelamento por mudanca de operadora,RJ,Niteroi,10.0,True,False,5.0,Conecta Familia,Cliente informa que ja solicitou portabilidade para outra operadora.
CHM-10132,2026-06-11,Telefone,Cancelamento,Cancelamento de linha,MG,Uberlandia,21.0,True,False,4.0,Conecta Plus,Cliente solicita encerramento de uma linha do plano familia.
CHM-10214,2026-08-14,Chat,Tecnico,Falha na instalacao,MG,Juiz De Fora,5.0,False,True,,Conecta Familia,Cliente relata problema durante instalacao de internet fixa.
CHM-10272,2026-06-17,Loja Fisica,Plano,Cancelamento de complemento,RS,Porto Alegre,17.0,True,False,5.0,Conecta Plus,Cliente pede remocao de servico adicional contratado.
CHM-10186,2026-07-01,Loja Fisica,Outros,Solicitacao de fatura detalhada,PR,Londrina,7.0,True,False,3.0,Conecta Basico,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10317,2026-08-24,Loja Fisica,Outros,Solicitacao de fatura detalhada,BA,Salvador,19.0,True,False,5.0,Conecta Basico,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10138,2026-06-19,App,Outros,Elogio,PR,Curitiba,30.0,True,False,,Conecta Basico,Cliente elogia atendimento recebido em contato anterior.
CHM-10151,2026-06-10,Telefone,Portabilidade,Duvida sobre prazo de portabilidade,SP,Sao Paulo,29.0,True,False,,Conecta Plus,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10027,2026-06-21,Loja Fisica,Cobertura,Sinal instavel,CE,Fortaleza,19.0,True,False,4.0,Conecta Basico,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10298,2026-06-27,Telefone,Cobertura,Lentidao na internet,RJ,Rio De Janeiro,,True,False,5.0,Conecta Basico,Cliente relata velocidade abaixo do contratado.
CHM-10117,2026-08-16,Chat,Portabilidade,Portabilidade nao concluida,CE,Fortaleza,5.0,True,False,4.0,,Cliente relata que a portabilidade nao foi concluida no prazo informado.
CHM-10240,2026-07-08,Chat,Cobertura,Lentidao na internet,PE,Olinda,17.0,True,False,5.0,Conecta Basico,Cliente relata velocidade abaixo do contratado.
CHM-10065,2026-06-20,Loja Fisica,Fatura,Cobranca indevida,PE,Olinda,10.0,True,False,3.0,Conecta Familia,Cliente relata cobranca de valor nao reconhecido na fatura do mes.
CHM-10112,2026-08-10,Telefone,Portabilidade,Status de portabilidade,CE,Sobral,6.0,False,True,1.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.
CHM-10220,2026-07-07,Loja Fisica,Tecnico,Aparelho nao conecta,MG,Belo Horizonte,10.0,False,False,2.0,,Cliente relata que o aparelho nao conecta a rede apos configurar novo chip.
CHM-10205,2026-07-27,Loja Fisica,Outros,Solicitacao de fatura detalhada,PR,Londrina,3.0,True,False,5.0,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.
CHM-10094,2026-06-24,Telefone,Cancelamento,Cancelamento de linha,MG,Belo Horizonte,12.0,True,False,3.0,,Cliente solicita encerramento de uma linha do plano familia.
CHM-10160,2026-07-11,Chat,Cobertura,Sem sinal,MG,Juiz De Fora,4.0,True,False,5.0,Conecta Plus,Cliente relata ausencia total de sinal na regiao.
CHM-10243,2026-06-14,Chat,Portabilidade,Duvida sobre prazo de portabilidade,SP,Santos,22.0,False,True,1.0,Conecta Basico,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10216,2026-08-11,Chat,Portabilidade,Duvida sobre prazo de portabilidade,RS,Porto Alegre,4.0,False,True,,Conecta Plus,Cliente pergunta quanto tempo leva o processo de portabilidade.
CHM-10210,2026-06-26,App,Cobertura,Sinal instavel,PR,Curitiba,24.0,False,True,3.0,Conecta Familia,Cliente relata quedas frequentes de sinal durante o dia.
CHM-10183,2026-07-06,Loja Fisica,Tecnico,Erro de configuracao de APN,RS,Caxias Do Sul,,False,True,1.0,,Cliente pede ajuda para configurar APN manualmente.
CHM-10201,2026-07-27,App,Fatura,Segunda via,MG,Uberlandia,27.0,True,False,4.0,Conecta Basico,Cliente solicita segunda via da fatura por e-mail.
CHM-10039,2026-07-07,Loja Fisica,Plano,Troca de plano,CE,Fortaleza,27.0,False,True,,Conecta Basico,Cliente solicita migracao para outro plano da ConectaTel.
CHM-10292,2026-07-13,Telefone,Portabilidade,Portabilidade nao concluida,BA,Feira De Santana,21.0,True,False,5.0,Conecta Plus,Cliente relata que a portabilidade nao foi concluida no prazo informado.
